,Date, Open, High, Low, Close, Volume,change,Senti
149,10/07/20,146.49,148.23,145.81,147.88,5603123,-1.009999999999991,-1
150,10/06/20,148.28,148.61,145.87,146.26,5118212,-1.6200000000000045,-1
151,10/05/20,147.0,148.38,146.42,148.23,4992758,1.9699999999999989,1
152,10/02/20,146.21,148.41,145.83,146.24,5485602,-1.9899999999999807,-1
153,10/01/20,149.31,149.65,146.46,147.32,6457808,1.079999999999984,1
154,09/30/20,147.45,149.73,146.84,148.88,8487691,1.5600000000000023,1
155,09/29/20,147.6,147.92,146.06,147.06,6771016,-1.8199999999999932,-1
156,09/28/20,146.73,148.29,146.42,147.11,5843189,0.05000000000001137,1
157,09/25/20,144.0,146.25,143.89,145.66,5531209,-1.450000000000017,-1
158,09/24/20,144.56,145.25,143.34,144.67,5614844,-0.9900000000000091,-1
159,09/23/20,147.48,147.55,144.38,144.44,8784436,-0.22999999999998977,-1
160,09/22/20,144.69,145.35,143.72,144.21,5295917,-0.22999999999998977,-1
161,09/21/20,147.58,147.93,142.96,145.1,7574501,0.8899999999999864,1
162,09/18/20,146.51,149.65,146.2,149.18,12174040,4.0800000000000125,1
163,09/17/20,148.04,148.63,146.05,147.17,5461414,-2.0100000000000193,-1
164,09/16/20,149.39,150.06,148.3501,148.4,4323502,1.2300000000000182,1
165,09/15/20,149.45,150.59,148.52,148.89,3659221,0.4899999999999807,1
166,09/14/20,148.12,149.47,148.01,148.35,4375798,-0.539999999999992,-1
167,09/11/20,147.05,148.53,146.63,147.78,3934691,-0.5699999999999932,-1
168,09/10/20,149.25,149.78,146.52,146.91,6191800,-0.8700000000000045,-1
169,09/09/20,148.15,151.1,148.12,149.7,6960668,2.789999999999992,1
170,09/08/20,150.25,150.89,146.9,147.26,8756842,-2.4399999999999977,-1
171,09/04/20,150.17,150.95,147.13,148.59,7200065,1.3300000000000125,1
172,09/03/20,154.83,155.47,148.3,149.55,8672808,0.960000000000008,1
173,09/02/20,150.79,154.33,149.245,153.83,6881856,4.280000000000001,1
174,09/01/20,153.87,154.08,150.07,151.52,6309237,-2.3100000000000023,-1
175,08/31/20,153.0,154.4,152.2605,153.41,6362683,1.8899999999999864,1
176,08/28/20,152.74,153.7,151.9,153.64,5395684,0.22999999999998977,1
177,08/27/20,152.42,153.26,151.89,152.98,5575432,-0.6599999999999966,-1
178,08/26/20,151.86,152.65,150.64,152.3,8008292,-0.6799999999999784,-1
179,08/25/20,152.78,153.07,151.535,152.06,3863477,-0.2400000000000091,-1
180,08/24/20,152.74,152.9,150.35,152.15,5387937,0.09000000000000341,1
181,08/21/20,151.78,153.65,150.5901,152.76,6722759,0.6099999999999852,1
182,08/20/20,149.75,151.58,149.5457,151.42,4874739,-1.3400000000000034,-1
183,08/19/20,149.58,151.58,149.32,150.39,7816251,-1.0300000000000011,-1
184,08/18/20,149.26,150.1,148.57,150.09,4322567,-0.29999999999998295,-1
185,08/17/20,148.32,150.23,148.23,148.99,4306909,-1.0999999999999943,-1
186,08/14/20,147.61,149.34,147.58,148.24,4240189,-0.75,-1
187,08/13/20,148.54,149.19,147.53,148.0,5155457,-0.2400000000000091,-1
188,08/12/20,147.54,150.24,147.49,149.66,5258127,1.6599999999999966,1
189,08/11/20,149.14,149.23,146.37,146.97,6388389,-2.6899999999999977,-1
190,08/10/20,148.86,149.01,147.72,148.03,4096620,1.0600000000000023,1
191,08/07/20,147.51,148.65,147.15,148.6,3635071,0.5699999999999932,1
192,08/06/20,148.4,149.25,146.5,147.55,4837865,-1.049999999999983,-1
193,08/05/20,149.1,149.31,147.8,148.4,5493196,0.8499999999999943,1
194,08/04/20,146.99,147.22,145.8247,147.22,4162154,-1.1800000000000068,-1
195,08/03/20,146.39,147.79,146.15,147.35,4079755,0.12999999999999545,1
196,07/31/20,146.66,147.45,143.96,145.76,8257997,-1.5900000000000034,-1
197,07/30/20,147.44,147.5,146.14,146.84,5922481,1.0800000000000125,1
198,07/29/20,146.39,147.47,146.07,146.54,4489147,-0.30000000000001137,-1
199,07/28/20,147.4,147.99,146.75,146.83,4842184,0.29000000000002046,1
200,07/27/20,147.37,148.92,146.86,147.18,5675155,0.3499999999999943,1
