,date,weighted_sent_score,tic
433,2021-05-17,1.775547818963752,JNJ
434,2021-05-18,-0.980728948470884,JNJ
435,2021-05-19,0.0641857635368079,JNJ
436,2021-05-20,3.348954166190422,JNJ
437,2021-05-21,0.0213838191228548,JNJ
438,2021-05-22,0.0,JNJ
439,2021-05-23,0.0,JNJ
440,2021-05-24,0.0,JNJ
441,2021-05-25,0.0,JNJ
442,2021-05-26,-0.1723737417190054,JNJ
443,2021-05-27,0.0,JNJ
444,2021-05-28,0.0056965944272445,JNJ
445,2021-05-30,-1.520690057116214,JNJ
446,2021-05-31,-0.2717982170036964,JNJ
447,2021-06-01,2.2798725438130645,JNJ
448,2021-06-02,0.3768891687657431,JNJ
449,2021-06-03,0.1376920867442194,JNJ
450,2021-06-04,-0.8055524872049781,JNJ
451,2021-06-05,0.4865214578391201,JNJ
452,2021-06-06,0.0,JNJ
453,2021-06-07,-1.9206349206349207,JNJ
454,2021-06-08,8.0,JNJ
455,2021-06-09,0.3899049012435991,JNJ
456,2021-06-10,1.0,JNJ
457,2021-06-11,0.0015987210231814,JNJ
458,2021-06-12,0.0,JNJ
459,2021-06-13,-3.955942750466708,JNJ
460,2021-06-14,-0.7665470047116895,JNJ
461,2021-06-15,0.2728400954653938,JNJ
462,2021-06-16,0.0043263288009888,JNJ
463,2021-06-17,0.0256983240223463,JNJ
464,2021-06-18,0.0,JNJ
465,2021-06-19,0.0,JNJ
466,2021-06-20,0.0387243735763098,JNJ
467,2021-06-21,0.0,JNJ
468,2021-06-22,2.8235294117647056,JNJ
469,2021-06-23,0.7286946352872387,JNJ
470,2021-06-24,0.4428364688856729,JNJ
471,2021-06-25,3.0,JNJ
472,2021-06-26,-4.105485734707249,JNJ
473,2021-06-27,0.7901601830663616,JNJ
474,2021-06-28,1.0,JNJ
475,2021-06-29,1.852941176470588,JNJ
476,2021-06-30,-1.4025389844062377,JNJ
477,2021-07-01,0.9966266360815006,JNJ
478,2021-07-02,0.8689538043478261,JNJ
479,2021-07-03,1.7204533876719308,JNJ
480,2021-07-04,0.3078393881453155,JNJ
481,2021-07-05,0.1545793617903025,JNJ
482,2021-07-06,0.0016844469399213,JNJ
483,2021-07-07,0.0,JNJ
484,2021-07-08,0.0,JNJ
485,2021-07-09,0.2223457476375764,JNJ
486,2021-07-10,7.0,JNJ
487,2021-07-11,5.186026696961091,JNJ
488,2021-07-12,0.4525512005649718,JNJ
489,2021-07-13,0.1667929101651265,JNJ
490,2021-07-14,0.0,JNJ
491,2021-07-15,-0.309167209319152,JNJ
492,2021-07-16,0.6046182846371347,JNJ
493,2021-07-17,0.0,JNJ
494,2021-07-19,0.0009345794392523,JNJ
495,2021-07-20,-2.8173527443105755,JNJ
496,2021-07-21,0.0454545454545454,JNJ
497,2021-07-22,0.0157606212882594,JNJ
498,2021-07-23,2.15,JNJ
499,2021-07-24,0.9868131868131867,JNJ
500,2021-07-25,2.650686641697878,JNJ
501,2021-07-26,-1.0,JNJ
502,2021-07-28,1.503788868565456,JNJ
503,2021-07-29,4.0,JNJ
504,2021-07-30,2.6666666666666665,JNJ
505,2021-07-31,0.0,JNJ
506,2021-08-01,-2.0,JNJ
507,2021-08-02,0.4532546403216149,JNJ
508,2021-08-03,5.75054054054054,JNJ
509,2021-08-04,0.0,JNJ
510,2021-08-05,-0.4418968212610735,JNJ
511,2021-08-06,-1.373097080109808,JNJ
512,2021-08-07,0.3129902429691984,JNJ
513,2021-08-09,0.0,JNJ
514,2021-08-10,-8.610005527915975,JNJ
515,2021-08-11,-0.1740879828326181,JNJ
516,2021-08-14,0.0,JNJ
517,2021-08-15,-3.0,JNJ
518,2021-08-16,5.1889763779527565,JNJ
519,2021-08-17,0.0,JNJ
520,2021-08-18,-1.6704971475142625,JNJ
521,2021-08-19,2.0,JNJ
522,2021-08-20,0.0009699321047526,JNJ
523,2021-08-21,0.0,JNJ
524,2021-08-23,6.384264811705445,JNJ
525,2021-08-24,-1.9779531213738688,JNJ
526,2021-08-25,1.8464598249801116,JNJ
527,2021-08-26,0.0181915462814339,JNJ
528,2021-08-27,-2.2702108963093144,JNJ
529,2021-08-28,0.0,JNJ
530,2021-08-29,0.0,JNJ
531,2021-08-30,0.0143781452192667,JNJ
532,2021-08-31,0.0,JNJ
533,2021-09-01,2.8285714285714283,JNJ
534,2021-09-02,1.0,JNJ
535,2021-09-03,-2.990769230769231,JNJ
536,2021-09-06,0.0,JNJ
537,2021-09-07,0.0,JNJ
538,2021-09-08,4.0,JNJ
539,2021-09-09,4.0,JNJ
540,2021-09-10,1.5056516410186571,JNJ
541,2021-09-12,1.0,JNJ
542,2021-09-13,0.0,JNJ
543,2021-09-14,0.0,JNJ
544,2021-09-15,0.5447910535609182,JNJ
545,2021-09-16,-4.186757215619695,JNJ
546,2021-09-17,3.0,JNJ
547,2021-09-18,5.923076923076923,JNJ
548,2021-09-19,0.0,JNJ
549,2021-09-20,0.5,JNJ
550,2021-09-21,1.0913186622769018,JNJ
551,2021-09-22,-0.0411522633744856,JNJ
552,2021-09-23,0.0006644518272425,JNJ
553,2021-09-24,6.0,JNJ
554,2021-09-26,-3.676855073826766,JNJ
555,2021-09-27,0.0,JNJ
556,2021-09-28,0.0419313850063532,JNJ
557,2021-09-29,-0.5859872611464968,JNJ
558,2021-09-30,-1.8010590015128594,JNJ
559,2021-10-01,8.0,JNJ
560,2021-10-04,-0.6159879660470614,JNJ
561,2021-10-05,6.714285714285714,JNJ
562,2021-10-06,-0.6414141414141414,JNJ
563,2021-10-07,0.0,JNJ
564,2021-10-08,3.141025641025641,JNJ
565,2021-10-10,2.0,JNJ
566,2021-10-11,0.0113446780113446,JNJ
567,2021-10-12,8.0,JNJ
568,2021-10-13,-0.0383631713554987,JNJ
569,2021-10-14,1.7106874234738498,JNJ
570,2021-10-15,-1.7321204516938522,JNJ
571,2021-10-16,0.6054829185997469,JNJ
572,2021-10-17,-3.0,JNJ
573,2021-10-18,2.033557046979866,JNJ
574,2021-10-19,-0.4873769790329482,JNJ
575,2021-10-20,0.0063486616334934,JNJ
576,2021-10-21,0.991271995314266,JNJ
577,2021-10-22,-0.101829753381066,JNJ
578,2021-10-23,2.0,JNJ
579,2021-10-24,2.0,JNJ
580,2021-10-25,0.000742890307603,JNJ
581,2021-10-26,4.0,JNJ
582,2021-10-27,0.0,JNJ
583,2021-10-28,-0.0769230769230768,JNJ
584,2021-10-29,13.5,JNJ
585,2021-10-30,5.0,JNJ
586,2021-11-01,2.0,JNJ
587,2021-11-02,3.3448275862068964,JNJ
588,2021-11-03,1.0367751060820367,JNJ
589,2021-11-04,-2.354064516129033,JNJ
590,2021-11-05,4.300000000000001,JNJ
591,2021-11-06,-5.995240928019037,JNJ
592,2021-11-07,0.0,JNJ
593,2021-11-08,1.158047646717025,JNJ
594,2021-11-09,1.72,JNJ
595,2021-11-10,-4.170693928128872,JNJ
596,2021-11-11,3.991012582384661,JNJ
597,2021-11-12,0.0158835208471211,JNJ
598,2021-11-13,0.0,JNJ
599,2021-11-15,3.1,JNJ
600,2021-11-16,-2.919311457772996,JNJ
601,2021-11-17,0.0267527675276752,JNJ
602,2021-11-18,-1.9513994910941477,JNJ
603,2021-11-19,5.181818181818182,JNJ
604,2021-11-20,2.0,JNJ
605,2021-11-21,1.0,JNJ
